Annual_income,age,experience,Type_Income,Type_Occupation,Marital_status,Housing_type
270000.0,38,0,Working,Sales staff,Separated,House / apartment
135000.0,37,7,Commercial associate,Laborers,Married,House / apartment
360000.0,53,5,State servant,Core staff,Separated,House / apartment
256500.0,31,5,Commercial associate,Accountants,Married,House / apartment
256500.0,31,5,Commercial associate,Accountants,Single / not married,House / apartment
157500.0,43,4,Working,Core staff,Married,House / apartment
225000.0,40,14,Commercial associate,High skill tech staff,Married,House / apartment
180000.0,34,10,Working,Laborers,Separated,House / apartment
180000.0,34,10,Working,Laborers,Separated,House / apartment
202500.0,38,4,Working,Laborers,Married,With parents
202500.0,38,4,Working,Laborers,Married,With parents
202500.0,38,4,Working,Laborers,Married,With parents
315000.0,51,3,Commercial associate,Managers,Married,House / apartment
225000.0,56,7,Working,Accountants,Married,House / apartment
126000.0,35,6,Commercial associate,Laborers,Civil marriage,House / apartment
675000.0,42,2,Commercial associate,Security staff,Single / not married,House / apartment
135000.0,29,1,Working,Laborers,Married,House / apartment
135000.0,29,1,Working,Laborers,Married,House / apartment
247500.0,47,1,Working,Laborers,Married,House / apartment
103500.0,61,0,Pensioner,Laborers,Married,House / apartment
85500.0,41,19,State servant,Core staff,Married,Municipal apartment
135000.0,55,2,Working,Core staff,Widow,Co-op apartment
135000.0,55,2,Working,Core staff,Widow,Co-op apartment
180000.0,46,6,Working,Cleaning staff,Widow,House / apartment
121500.0,52,22,Working,Managers,Married,House / apartment
180000.0,45,2,Working,Laborers,Single / not married,House / apartment
225000.0,63,0,Pensioner,Laborers,Widow,House / apartment
191399.0,32,2,Commercial associate,High skill tech staff,Single / not married,Municipal apartment
135000.0,54,19,Commercial associate,Medicine staff,Married,House / apartment
225000.0,53,1,Working,Security staff,Widow,Municipal apartment
67500.0,64,0,Pensioner,Laborers,Widow,House / apartment
135000.0,64,0,Pensioner,Laborers,Married,House / apartment
130500.0,31,5,Working,Laborers,Married,Rented apartment
130500.0,31,5,Working,Laborers,Married,Rented apartment
202500.0,40,9,Working,Core staff,Married,House / apartment
202500.0,40,9,Working,Core staff,Married,House / apartment
202500.0,40,9,Working,Core staff,Married,House / apartment
202500.0,40,9,Working,Core staff,Married,House / apartment
202500.0,40,9,Working,Core staff,Single / not married,House / apartment
126000.0,40,2,Working,Managers,Single / not married,House / apartment
126000.0,40,2,Working,Managers,Single / not married,House / apartment
180000.0,48,20,Commercial associate,Core staff,Married,House / apartment
180000.0,62,0,Pensioner,Laborers,Married,House / apartment
180000.0,62,0,Pensioner,Laborers,Married,House / apartment
180000.0,62,0,Pensioner,Laborers,Married,House / apartment
191399.0,62,0,Pensioner,Laborers,Married,House / apartment
211500.0,41,21,Pensioner,Core staff,Married,House / apartment
157500.0,36,11,Commercial associate,Laborers,Married,House / apartment
81000.0,61,0,Pensioner,Laborers,Separated,House / apartment
81000.0,65,0,Pensioner,Laborers,Widow,House / apartment
112500.0,59,0,Pensioner,Laborers,Married,Municipal apartment
112500.0,59,0,Pensioner,Laborers,Married,Municipal apartment
112500.0,59,0,Pensioner,Laborers,Married,Municipal apartment
112500.0,59,0,Pensioner,Laborers,Single / not married,Municipal apartment
112500.0,59,0,Pensioner,Laborers,Married,Municipal apartment
72000.0,50,3,Working,Laborers,Married,House / apartment
202500.0,38,0,Working,Laborers,Separated,House / apartment
148500.0,57,0,Pensioner,Laborers,Married,House / apartment
135000.0,45,2,Working,High skill tech staff,Married,House / apartment
135000.0,45,2,Working,High skill tech staff,Married,House / apartment
270000.0,49,4,Commercial associate,Cooking staff,Single / not married,Municipal apartment
135000.0,36,4,Commercial associate,Laborers,Single / not married,House / apartment
135000.0,27,5,Commercial associate,Sales staff,Civil marriage,With parents
162000.0,58,0,Pensioner,Laborers,Married,House / apartment
112500.0,55,2,Commercial associate,Security staff,Married,House / apartment
112500.0,55,2,Commercial associate,Security staff,Married,House / apartment
112500.0,55,2,Commercial associate,Security staff,Married,House / apartment
135000.0,29,5,State servant,Core staff,Single / not married,Municipal apartment
135000.0,29,5,State servant,Core staff,Single / not married,Municipal apartment
195750.0,52,3,Working,Laborers,Married,House / apartment
585000.0,29,2,Commercial associate,Managers,Single / not married,House / apartment
585000.0,29,2,Commercial associate,Managers,Single / not married,House / apartment
191399.0,49,12,Commercial associate,Managers,Married,House / apartment
450000.0,49,12,Commercial associate,Managers,Married,House / apartment
450000.0,49,12,Commercial associate,Managers,Married,House / apartment
112500.0,44,3,Working,Drivers,Married,House / apartment
112500.0,44,3,Working,Drivers,Married,House / apartment
67500.0,52,1,Commercial associate,Core staff,Separated,House / apartment
67500.0,52,1,Commercial associate,Core staff,Separated,House / apartment
67500.0,52,1,Commercial associate,Core staff,Separated,House / apartment
216000.0,35,7,Working,Laborers,Married,Municipal apartment
306000.0,59,0,Pensioner,Laborers,Married,House / apartment
90000.0,60,0,Pensioner,Laborers,Married,House / apartment
225000.0,28,1,Working,Managers,Single / not married,House / apartment
108000.0,35,3,Working,Sales staff,Married,House / apartment
135000.0,56,5,Working,Security staff,Married,House / apartment
135000.0,39,3,Working,Managers,Widow,House / apartment
108000.0,47,3,Working,Security staff,Married,Office apartment
108000.0,47,3,Working,Security staff,Married,Office apartment
450000.0,27,1,Working,Core staff,Married,House / apartment
450000.0,27,1,Working,Core staff,Married,House / apartment
450000.0,27,1,Working,Core staff,Married,House / apartment
315000.0,48,7,Working,Managers,Married,House / apartment
157500.0,34,4,Commercial associate,Medicine staff,Married,House / apartment
157500.0,34,4,Pensioner,Medicine staff,Married,House / apartment
81000.0,43,17,Working,Cleaning staff,Married,Municipal apartment
225000.0,49,7,Commercial associate,Laborers,Married,House / apartment
180000.0,35,1,Commercial associate,Sales staff,Civil marriage,House / apartment
135000.0,56,26,State servant,Core staff,Married,House / apartment
135000.0,45,8,Working,Private service staff,Married,House / apartment
63000.0,40,8,Commercial associate,Sales staff,Married,House / apartment
135000.0,48,6,Working,Laborers,Married,House / apartment
112500.0,66,0,Pensioner,Laborers,Single / not married,House / apartment
112500.0,31,2,Working,Core staff,Married,House / apartment
45000.0,60,0,Pensioner,Laborers,Married,House / apartment
191399.0,39,0,Working,Cooking staff,Married,House / apartment
202500.0,57,0,Pensioner,Laborers,Married,House / apartment
180000.0,29,5,Working,Laborers,Married,House / apartment
450000.0,41,13,Working,Managers,Married,House / apartment
256500.0,59,5,Commercial associate,Core staff,Married,House / apartment
90000.0,40,2,Working,Laborers,Single / not married,House / apartment
180000.0,40,2,Commercial associate,Laborers,Single / not married,House / apartment
90000.0,29,2,Commercial associate,Sales staff,Single / not married,House / apartment
135000.0,59,0,Pensioner,Laborers,Married,House / apartment
126000.0,45,0,Pensioner,Laborers,Married,Rented apartment
126000.0,60,0,Pensioner,Laborers,Married,House / apartment
337500.0,34,8,Working,Laborers,Single / not married,House / apartment
90000.0,33,4,Working,Core staff,Married,House / apartment
131400.0,65,0,Pensioner,Laborers,Married,House / apartment
180000.0,40,9,Commercial associate,Laborers,Civil marriage,Rented apartment
247500.0,67,0,Pensioner,Laborers,Widow,House / apartment
121500.0,36,14,Working,Core staff,Married,With parents
117000.0,48,8,Working,Laborers,Widow,House / apartment
90000.0,27,1,Working,Security staff,Married,House / apartment
445500.0,53,7,Commercial associate,Laborers,Separated,House / apartment
157500.0,44,2,Working,Laborers,Married,House / apartment
112500.0,28,2,Working,Laborers,Married,House / apartment
180000.0,45,3,Commercial associate,Laborers,Married,House / apartment
157500.0,35,4,Commercial associate,Laborers,Married,House / apartment
117000.0,47,20,Working,Medicine staff,Married,House / apartment
234000.0,33,5,Working,Laborers,Married,House / apartment
1575000.0,28,7,Commercial associate,Managers,Single / not married,House / apartment
247500.0,55,2,State servant,High skill tech staff,Married,Municipal apartment
144000.0,39,8,Working,Private service staff,Married,House / apartment
180000.0,36,7,Working,Managers,Married,House / apartment
191399.0,53,4,Commercial associate,Cleaning staff,Married,House / apartment
216000.0,29,5,Working,Core staff,Single / not married,House / apartment
90000.0,41,1,Commercial associate,Core staff,Married,House / apartment
171000.0,55,0,Pensioner,Laborers,Married,House / apartment
180000.0,52,4,Working,Drivers,Married,Municipal apartment
225000.0,60,0,Pensioner,Laborers,Separated,House / apartment
225000.0,38,1,Working,Laborers,Married,House / apartment
270000.0,32,6,Commercial associate,Laborers,Separated,House / apartment
67050.0,67,0,Pensioner,Laborers,Married,House / apartment
270000.0,30,1,Working,Drivers,Married,House / apartment
73350.0,39,19,Working,Medicine staff,Married,House / apartment
112500.0,47,5,Working,Sales staff,Married,House / apartment
144000.0,39,4,Working,HR staff,Widow,House / apartment
225000.0,34,10,Working,Core staff,Married,House / apartment
112500.0,40,3,Working,Accountants,Married,House / apartment
292500.0,44,7,State servant,Core staff,Married,House / apartment
135000.0,27,7,Commercial associate,Laborers,Married,House / apartment
157500.0,27,6,Commercial associate,Laborers,Single / not married,Municipal apartment
1575000.0,28,7,Commercial associate,Managers,Single / not married,House / apartment
157500.0,51,4,Working,Sales staff,Separated,House / apartment
157500.0,42,7,Working,Laborers,Married,House / apartment
135000.0,27,6,Working,Laborers,Married,House / apartment
112500.0,33,4,Commercial associate,Laborers,Married,House / apartment
202500.0,43,14,Working,Drivers,Married,House / apartment
193500.0,52,6,Working,Laborers,Separated,House / apartment
225000.0,29,6,Commercial associate,Sales staff,Single / not married,With parents
108000.0,47,3,Working,Cleaning staff,Separated,House / apartment
900000.0,42,12,Working,Laborers,Married,House / apartment
292500.0,40,4,Commercial associate,Laborers,Civil marriage,House / apartment
270000.0,40,4,Working,Laborers,Married,House / apartment
270000.0,64,0,Pensioner,Laborers,Married,House / apartment
292500.0,46,5,Working,Laborers,Married,House / apartment
292500.0,57,24,State servant,Accountants,Married,House / apartment
157500.0,37,17,Commercial associate,Medicine staff,Married,House / apartment
76500.0,46,0,Working,Laborers,Married,House / apartment
157500.0,30,3,Working,Secretaries,Single / not married,House / apartment
180000.0,23,1,Working,Laborers,Single / not married,With parents
135000.0,63,0,Pensioner,Laborers,Married,House / apartment
112500.0,44,21,State servant,Core staff,Single / not married,House / apartment
360000.0,44,15,State servant,Managers,Married,House / apartment
157500.0,57,5,Working,Laborers,Married,House / apartment
225000.0,59,0,Pensioner,Laborers,Married,House / apartment
112500.0,52,15,Working,Core staff,Married,House / apartment
121500.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
202500.0,27,5,Commercial associate,Sales staff,Married,Rented apartment
112500.0,54,16,State servant,Secretaries,Widow,House / apartment
135000.0,34,1,Working,Accountants,Married,House / apartment
103500.0,47,4,Commercial associate,Sales staff,Married,House / apartment
157500.0,54,12,Working,Laborers,Married,House / apartment
337500.0,31,9,Working,Core staff,Single / not married,With parents
180000.0,57,11,State servant,Medicine staff,Married,House / apartment
112500.0,59,0,Pensioner,Laborers,Married,House / apartment
157500.0,32,1,Working,Managers,Married,House / apartment
360000.0,27,5,State servant,Laborers,Married,House / apartment
135000.0,34,2,Commercial associate,Managers,Married,House / apartment
337500.0,36,2,Working,Laborers,Separated,House / apartment
135000.0,47,0,Pensioner,Laborers,Married,House / apartment
360000.0,41,5,Commercial associate,Sales staff,Civil marriage,House / apartment
191399.0,40,4,Working,Laborers,Single / not married,House / apartment
450000.0,49,2,State servant,Core staff,Married,House / apartment
270000.0,53,34,State servant,Medicine staff,Separated,House / apartment
270000.0,32,2,Working,Laborers,Married,With parents
270000.0,43,14,Commercial associate,Sales staff,Single / not married,House / apartment
450000.0,61,0,Pensioner,Laborers,Widow,House / apartment
157500.0,64,0,Pensioner,Laborers,Married,House / apartment
112500.0,35,17,Commercial associate,Sales staff,Single / not married,House / apartment
292500.0,57,7,Commercial associate,Laborers,Married,House / apartment
112500.0,47,26,State servant,Medicine staff,Married,With parents
247500.0,53,2,Commercial associate,Laborers,Married,House / apartment
157500.0,25,3,Working,Sales staff,Single / not married,With parents
225000.0,33,4,Working,Drivers,Single / not married,House / apartment
94500.0,38,9,Commercial associate,Sales staff,Married,House / apartment
81000.0,39,0,Working,Low-skill Laborers,Civil marriage,House / apartment
180000.0,46,7,Commercial associate,Sales staff,Married,House / apartment
198000.0,43,8,Commercial associate,Laborers,Separated,House / apartment
180000.0,37,19,Working,Core staff,Married,House / apartment
315000.0,47,6,Commercial associate,Drivers,Married,Rented apartment
67500.0,50,1,Working,Laborers,Single / not married,House / apartment
180000.0,33,8,Commercial associate,Realty agents,Civil marriage,House / apartment
202500.0,30,9,Commercial associate,Sales staff,Separated,House / apartment
112500.0,33,14,Working,Laborers,Married,House / apartment
306000.0,44,5,Working,Managers,Married,House / apartment
90000.0,45,10,Working,Sales staff,Married,House / apartment
270000.0,30,10,Commercial associate,Laborers,Civil marriage,House / apartment
270000.0,40,13,Working,Laborers,Married,House / apartment
234000.0,33,5,Working,Laborers,Married,House / apartment
171000.0,38,16,Working,Core staff,Married,Municipal apartment
225000.0,28,5,Commercial associate,Laborers,Married,House / apartment
94500.0,46,1,Working,Security staff,Married,House / apartment
117000.0,27,1,Commercial associate,Sales staff,Single / not married,With parents
180000.0,58,5,Commercial associate,Drivers,Married,House / apartment
202500.0,54,6,Commercial associate,Sales staff,Married,House / apartment
54000.0,55,0,Pensioner,Laborers,Single / not married,House / apartment
112500.0,59,0,Pensioner,Laborers,Married,House / apartment
85500.0,61,0,Pensioner,Laborers,Married,House / apartment
135000.0,47,5,Working,Drivers,Married,House / apartment
166500.0,65,37,State servant,Laborers,Married,House / apartment
157500.0,23,4,Working,Core staff,Single / not married,House / apartment
247500.0,47,4,Commercial associate,Core staff,Separated,Rented apartment
180000.0,28,4,Working,Sales staff,Married,House / apartment
72000.0,42,1,Working,Medicine staff,Married,House / apartment
202500.0,49,27,Working,Core staff,Widow,House / apartment
180000.0,26,4,Commercial associate,High skill tech staff,Single / not married,House / apartment
270000.0,51,14,Working,Managers,Married,House / apartment
202500.0,38,8,Working,Accountants,Married,House / apartment
360000.0,35,6,Working,Accountants,Married,House / apartment
270000.0,34,1,Working,Laborers,Married,House / apartment
270000.0,49,5,Working,High skill tech staff,Married,House / apartment
112500.0,56,10,Working,Laborers,Married,Municipal apartment
191399.0,47,3,Commercial associate,Sales staff,Married,House / apartment
157500.0,47,8,Working,Medicine staff,Separated,House / apartment
202500.0,32,12,State servant,Core staff,Married,House / apartment
99000.0,65,0,Pensioner,Laborers,Married,House / apartment
162000.0,62,0,Pensioner,Laborers,Married,House / apartment
225000.0,57,0,Pensioner,Laborers,Separated,House / apartment
225000.0,50,0,Working,Laborers,Married,House / apartment
72000.0,55,6,Working,Cleaning staff,Widow,House / apartment
135000.0,45,23,Working,Laborers,Civil marriage,House / apartment
315000.0,50,0,Commercial associate,Laborers,Married,House / apartment
167400.0,52,0,Pensioner,Laborers,Married,House / apartment
180000.0,63,0,Pensioner,Laborers,Widow,House / apartment
135000.0,64,0,Pensioner,Laborers,Married,House / apartment
99000.0,40,12,Working,Core staff,Married,House / apartment
225000.0,34,0,Commercial associate,Core staff,Married,House / apartment
153000.0,55,21,Working,Managers,Separated,With parents
423000.0,37,9,Commercial associate,Private service staff,Separated,House / apartment
90000.0,39,0,Working,Sales staff,Civil marriage,With parents
360000.0,45,11,Working,Managers,Widow,House / apartment
247500.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
225000.0,64,13,Working,Medicine staff,Married,House / apartment
67500.0,61,0,Pensioner,Laborers,Widow,House / apartment
112500.0,62,0,Pensioner,Laborers,Widow,House / apartment
157500.0,64,41,Working,Laborers,Married,House / apartment
90000.0,52,9,Working,Laborers,Separated,House / apartment
90000.0,28,5,Commercial associate,Private service staff,Married,House / apartment
225000.0,62,0,Pensioner,Laborers,Married,House / apartment
112500.0,39,1,Working,Laborers,Married,House / apartment
112500.0,61,0,Pensioner,Laborers,Married,House / apartment
315000.0,42,17,Commercial associate,Drivers,Married,House / apartment
135000.0,29,0,Working,Private service staff,Married,With parents
450000.0,51,7,Working,Managers,Married,Office apartment
90000.0,52,5,Working,Sales staff,Married,House / apartment
270000.0,57,10,Working,Core staff,Married,House / apartment
180000.0,42,9,Commercial associate,Sales staff,Married,House / apartment
135000.0,27,8,Commercial associate,Core staff,Married,House / apartment
243000.0,47,9,Commercial associate,Laborers,Married,With parents
225000.0,26,3,Working,Laborers,Single / not married,House / apartment
112500.0,60,0,Pensioner,Laborers,Married,House / apartment
234000.0,57,22,Working,Core staff,Single / not married,House / apartment
180000.0,54,10,Working,Laborers,Civil marriage,House / apartment
121500.0,31,0,Working,Core staff,Married,House / apartment
121500.0,55,9,State servant,Laborers,Married,House / apartment
270000.0,30,1,Working,Laborers,Married,Rented apartment
180000.0,64,0,Pensioner,Laborers,Married,House / apartment
90000.0,26,5,State servant,Laborers,Married,House / apartment
135000.0,40,4,Working,Laborers,Married,House / apartment
247500.0,30,10,Working,Laborers,Married,House / apartment
76500.0,28,2,Working,Sales staff,Married,House / apartment
85500.0,45,24,State servant,Core staff,Separated,Co-op apartment
202500.0,47,4,Working,Core staff,Married,House / apartment
157500.0,59,0,Pensioner,Laborers,Widow,House / apartment
225000.0,39,4,Working,High skill tech staff,Married,House / apartment
225000.0,29,3,Commercial associate,Laborers,Married,House / apartment
540000.0,39,1,Working,Laborers,Single / not married,House / apartment
283500.0,49,2,Working,Sales staff,Married,House / apartment
90000.0,60,0,Pensioner,Laborers,Widow,House / apartment
191399.0,51,10,Commercial associate,Cleaning staff,Separated,House / apartment
252000.0,48,3,Working,Medicine staff,Married,House / apartment
135000.0,40,20,Commercial associate,Laborers,Single / not married,House / apartment
315000.0,58,0,Pensioner,Laborers,Single / not married,House / apartment
450000.0,53,15,Working,Managers,Married,House / apartment
180000.0,39,10,Commercial associate,Sales staff,Civil marriage,House / apartment
270000.0,57,0,Pensioner,Laborers,Widow,House / apartment
495000.0,44,3,Commercial associate,Managers,Married,House / apartment
180000.0,54,9,Working,Laborers,Married,House / apartment
306000.0,44,5,Working,Managers,Married,House / apartment
157500.0,48,21,Working,Private service staff,Single / not married,House / apartment
180000.0,38,4,Commercial associate,Accountants,Married,House / apartment
612000.0,34,10,State servant,Accountants,Married,House / apartment
36000.0,34,3,Working,Core staff,Married,House / apartment
112500.0,31,1,Working,Laborers,Married,House / apartment
292500.0,57,7,Commercial associate,Laborers,Married,House / apartment
180000.0,32,3,Working,Medicine staff,Married,House / apartment
202500.0,30,6,Working,Core staff,Married,House / apartment
292500.0,54,35,Working,Core staff,Separated,House / apartment
315000.0,36,10,State servant,High skill tech staff,Married,House / apartment
135000.0,34,2,Working,Laborers,Married,With parents
337500.0,30,6,Working,Core staff,Married,House / apartment
157500.0,35,15,Working,Core staff,Single / not married,Municipal apartment
360000.0,52,10,Commercial associate,Sales staff,Married,House / apartment
135000.0,41,12,Working,Managers,Married,House / apartment
270000.0,30,1,Working,Drivers,Married,House / apartment
157500.0,37,1,Working,Laborers,Married,House / apartment
157500.0,25,3,Working,Drivers,Married,With parents
139500.0,58,0,Pensioner,Laborers,Married,House / apartment
135000.0,32,13,Working,Laborers,Single / not married,House / apartment
133650.0,40,5,Commercial associate,Laborers,Married,House / apartment
427500.0,33,7,Working,Drivers,Married,House / apartment
81000.0,29,4,Working,Core staff,Married,House / apartment
225000.0,31,1,Commercial associate,Accountants,Married,House / apartment
126000.0,62,6,Working,High skill tech staff,Married,House / apartment
135000.0,35,4,Working,Core staff,Married,House / apartment
94500.0,46,4,Working,Waiters/barmen staff,Married,House / apartment
180000.0,52,16,Working,Managers,Separated,House / apartment
157500.0,52,9,Working,Cooking staff,Married,House / apartment
252000.0,38,7,Commercial associate,Drivers,Married,House / apartment
202500.0,33,9,Working,Managers,Married,House / apartment
117000.0,57,6,Working,Laborers,Married,House / apartment
247500.0,25,1,Working,Core staff,Married,House / apartment
180000.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
180000.0,43,18,Commercial associate,Laborers,Civil marriage,House / apartment
180000.0,29,1,Commercial associate,High skill tech staff,Married,House / apartment
157500.0,36,1,Working,Accountants,Civil marriage,With parents
135000.0,55,0,Pensioner,Laborers,Married,House / apartment
191399.0,33,9,Commercial associate,Accountants,Married,House / apartment
202500.0,60,0,Pensioner,Laborers,Married,House / apartment
90000.0,28,4,Working,Laborers,Married,With parents
247500.0,35,7,Working,Managers,Married,House / apartment
99000.0,53,1,State servant,Core staff,Married,House / apartment
247500.0,48,4,Commercial associate,Drivers,Married,House / apartment
202500.0,37,7,State servant,Laborers,Married,House / apartment
90000.0,32,2,Working,Laborers,Married,House / apartment
121500.0,31,0,Working,Core staff,Married,House / apartment
157500.0,26,4,Working,Laborers,Married,House / apartment
121500.0,32,2,Working,HR staff,Married,House / apartment
135000.0,48,5,Working,Laborers,Single / not married,House / apartment
180000.0,50,1,State servant,Laborers,Widow,House / apartment
144000.0,46,20,Working,Core staff,Single / not married,House / apartment
126000.0,53,0,Pensioner,Laborers,Married,House / apartment
225000.0,42,20,Working,High skill tech staff,Married,House / apartment
157500.0,39,2,Commercial associate,Drivers,Married,With parents
157500.0,56,19,Commercial associate,Laborers,Married,House / apartment
270000.0,37,1,Working,Laborers,Married,House / apartment
261000.0,41,4,State servant,Managers,Married,House / apartment
135000.0,40,17,State servant,Core staff,Married,House / apartment
202500.0,36,2,Working,Drivers,Married,House / apartment
157500.0,64,0,Pensioner,Laborers,Married,House / apartment
103500.0,32,2,Working,Laborers,Married,House / apartment
135000.0,47,7,Working,Core staff,Married,House / apartment
135000.0,28,2,Working,Laborers,Married,House / apartment
112500.0,30,0,Working,High skill tech staff,Single / not married,With parents
231750.0,39,0,Working,Laborers,Married,House / apartment
202500.0,33,4,Working,Managers,Widow,House / apartment
247500.0,42,3,Working,Drivers,Married,House / apartment
135000.0,29,5,State servant,Core staff,Single / not married,Municipal apartment
135000.0,31,1,Working,Sales staff,Married,House / apartment
112500.0,60,0,Pensioner,Laborers,Widow,House / apartment
117000.0,53,3,Commercial associate,Laborers,Married,House / apartment
112500.0,51,6,Working,Low-skill Laborers,Married,House / apartment
135000.0,30,2,Working,Secretaries,Single / not married,House / apartment
103500.0,65,0,Pensioner,Laborers,Widow,House / apartment
315000.0,48,9,Commercial associate,Private service staff,Separated,House / apartment
180000.0,23,1,Commercial associate,Sales staff,Married,With parents
247500.0,33,6,Commercial associate,Laborers,Married,House / apartment
135000.0,27,5,Working,Laborers,Married,With parents
157500.0,40,13,Working,Laborers,Married,House / apartment
315000.0,44,1,Commercial associate,Sales staff,Married,House / apartment
247500.0,61,2,Working,Managers,Married,House / apartment
157500.0,44,19,Working,Laborers,Married,House / apartment
191399.0,36,5,Working,Laborers,Married,House / apartment
247500.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
166500.0,55,22,Working,Laborers,Married,House / apartment
112500.0,26,6,Commercial associate,High skill tech staff,Married,House / apartment
90900.0,61,0,Pensioner,Laborers,Married,House / apartment
112500.0,32,10,Working,Laborers,Married,House / apartment
45900.0,56,0,Pensioner,Laborers,Widow,House / apartment
126000.0,34,0,Working,Laborers,Civil marriage,House / apartment
103500.0,32,13,Working,Laborers,Married,House / apartment
119250.0,44,12,Working,Core staff,Married,House / apartment
